"state","name","city","country","lat","lng","description","wndfinder_link","stat[]"
"true","Providenciales ","Providenciales","Turks and Caicos Islands","21.755","","Great launching area at the south end of the Five Cays beach, next to a cafe.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tc1","[{:month=>1, :stat=>44}, {:month=>2, :stat=>44}, {:month=>3, :stat=>47}, {:month=>4, :stat=>49}, {:month=>5, :stat=>40}, {:month=>6, :stat=>41}, {:month=>7, :stat=>55}, {:month=>8, :stat=>48}, {:month=>9, :stat=>23}, {:month=>10, :stat=>31}, {:month=>11, :stat=>37}, {:month=>12, :stat=>39}]"
"true","Long Bay ","Five Cays Settlements, Leeward","Turks and Caicos Islands","21.7807","","4km long, sandy beach with lots of space.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tc1","[{:month=>1, :stat=>44}, {:month=>2, :stat=>44}, {:month=>3, :stat=>47}, {:month=>4, :stat=>49}, {:month=>5, :stat=>40}, {:month=>6, :stat=>41}, {:month=>7, :stat=>55}, {:month=>8, :stat=>48}, {:month=>9, :stat=>23}, {:month=>10, :stat=>31}, {:month=>11, :stat=>37}, {:month=>12, :stat=>39}]"
"true","Eustacia Island Beach ","Bitter End Yacht Club","Virgin Islands (British)","18.5088","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vg1","[{:month=>1, :stat=>28}, {:month=>2, :stat=>31}, {:month=>3, :stat=>25}, {:month=>4, :stat=>26}, {:month=>5, :stat=>26}, {:month=>6, :stat=>33}, {:month=>7, :stat=>45}, {:month=>8, :stat=>30}, {:month=>9, :stat=>19}, {:month=>10, :stat=>18}, {:month=>11, :stat=>14}, {:month=>12, :stat=>31}]"
"true","Anegada ","Settlement","Virgin Islands (British)","18.7396","","No crowds to speak of really as the whole island is quiet. Stunning beach.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vg1","[{:month=>1, :stat=>28}, {:month=>2, :stat=>31}, {:month=>3, :stat=>25}, {:month=>4, :stat=>26}, {:month=>5, :stat=>26}, {:month=>6, :stat=>33}, {:month=>7, :stat=>45}, {:month=>8, :stat=>30}, {:month=>9, :stat=>19}, {:month=>10, :stat=>18}, {:month=>11, :stat=>14}, {:month=>12, :stat=>31}]"
"true","Sandy Spit ","Jost Van Dyke","Virgin Islands (British)","18.4499","","Postcard scene. Can be busy with yachts at times and so be careful of other beach users.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vg1","[{:month=>1, :stat=>28}, {:month=>2, :stat=>31}, {:month=>3, :stat=>25}, {:month=>4, :stat=>26}, {:month=>5, :stat=>26}, {:month=>6, :stat=>33}, {:month=>7, :stat=>45}, {:month=>8, :stat=>30}, {:month=>9, :stat=>19}, {:month=>10, :stat=>18}, {:month=>11, :stat=>14}, {:month=>12, :stat=>31}]"
"true","Anegada ","Anegada","Virgin Islands (British)","18.7228","","Perhaps the finest beach in the world, definitely one of the quietest - it's normal to walk for miles and never see a soul. Sand is like talcum powder.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vg1","[{:month=>1, :stat=>28}, {:month=>2, :stat=>31}, {:month=>3, :stat=>25}, {:month=>4, :stat=>26}, {:month=>5, :stat=>26}, {:month=>6, :stat=>33}, {:month=>7, :stat=>45}, {:month=>8, :stat=>30}, {:month=>9, :stat=>19}, {:month=>10, :stat=>18}, {:month=>11, :stat=>14}, {:month=>12, :stat=>31}]"
"true","Virgin Gorda ","Spanish Town","Virgin Islands (British)","18.5022","","Limited launching beaches, talk with locals about sites. Best launch is in the middle of the sound from a dingy.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vg1","[{:month=>1, :stat=>28}, {:month=>2, :stat=>31}, {:month=>3, :stat=>25}, {:month=>4, :stat=>26}, {:month=>5, :stat=>26}, {:month=>6, :stat=>33}, {:month=>7, :stat=>45}, {:month=>8, :stat=>30}, {:month=>9, :stat=>19}, {:month=>10, :stat=>18}, {:month=>11, :stat=>14}, {:month=>12, :stat=>31}]"
"true","Anegada ","Anegada","Virgin Islands (British)","18.7437","","Very fine sandy beach. Lots of space.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vg1","[{:month=>1, :stat=>28}, {:month=>2, :stat=>31}, {:month=>3, :stat=>25}, {:month=>4, :stat=>26}, {:month=>5, :stat=>26}, {:month=>6, :stat=>33}, {:month=>7, :stat=>45}, {:month=>8, :stat=>30}, {:month=>9, :stat=>19}, {:month=>10, :stat=>18}, {:month=>11, :stat=>14}, {:month=>12, :stat=>31}]"
"true","Anegada ","Anegada","Virgin Islands (British)","18.7194","","Perhaps the finest beach in the world, definitely one of the quietest - it's normal to walk for miles and never see a soul. Sand is like talcum powder.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vg1","[{:month=>1, :stat=>28}, {:month=>2, :stat=>31}, {:month=>3, :stat=>25}, {:month=>4, :stat=>26}, {:month=>5, :stat=>26}, {:month=>6, :stat=>33}, {:month=>7, :stat=>45}, {:month=>8, :stat=>30}, {:month=>9, :stat=>19}, {:month=>10, :stat=>18}, {:month=>11, :stat=>14}, {:month=>12, :stat=>31}]"
"true","Anegada ","Anegada","Virgin Islands (British)","18.7421","","Perhaps the finest beach in the world, definitely one of the quietest - it's normal to walk for miles and never see a soul. Sand is like talcum powder.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vg1","[{:month=>1, :stat=>28}, {:month=>2, :stat=>31}, {:month=>3, :stat=>25}, {:month=>4, :stat=>26}, {:month=>5, :stat=>26}, {:month=>6, :stat=>33}, {:month=>7, :stat=>45}, {:month=>8, :stat=>30}, {:month=>9, :stat=>19}, {:month=>10, :stat=>18}, {:month=>11, :stat=>14}, {:month=>12, :stat=>31}]"
"true","Necker Island ","Spanish Town Virgin Gorda","Virgin Islands (British)","18.5273","","Private property, only for guests of Necker Island.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vg1","[{:month=>1, :stat=>28}, {:month=>2, :stat=>31}, {:month=>3, :stat=>25}, {:month=>4, :stat=>26}, {:month=>5, :stat=>26}, {:month=>6, :stat=>33}, {:month=>7, :stat=>45}, {:month=>8, :stat=>30}, {:month=>9, :stat=>19}, {:month=>10, :stat=>18}, {:month=>11, :stat=>14}, {:month=>12, :stat=>31}]"
"true","St","Redhook","Virgin Islands (USA)","18.3386","","Clean sandy beach, good launch spot.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vi2","[{:month=>1, :stat=>49}, {:month=>2, :stat=>52}, {:month=>3, :stat=>49}, {:month=>4, :stat=>48}, {:month=>5, :stat=>51}, {:month=>6, :stat=>59}, {:month=>7, :stat=>62}, {:month=>8, :stat=>54}, {:month=>9, :stat=>31}, {:month=>10, :stat=>36}, {:month=>11, :stat=>33}, {:month=>12, :stat=>47}]"
"true","St","Cruz Bay","Virgin Islands (USA)","18.3169","","Very small beach with sand and grass. Not much space.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vg1","[{:month=>1, :stat=>28}, {:month=>2, :stat=>31}, {:month=>3, :stat=>25}, {:month=>4, :stat=>26}, {:month=>5, :stat=>26}, {:month=>6, :stat=>33}, {:month=>7, :stat=>45}, {:month=>8, :stat=>30}, {:month=>9, :stat=>19}, {:month=>10, :stat=>18}, {:month=>11, :stat=>14}, {:month=>12, :stat=>31}]"
"true","St","Christiansted","Virgin Islands (USA)","17.7771","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vi1","[{:month=>1, :stat=>52}, {:month=>2, :stat=>54}, {:month=>3, :stat=>53}, {:month=>4, :stat=>49}, {:month=>5, :stat=>51}, {:month=>6, :stat=>65}, {:month=>7, :stat=>70}, {:month=>8, :stat=>60}, {:month=>9, :stat=>33}, {:month=>10, :stat=>34}, {:month=>11, :stat=>33}, {:month=>12, :stat=>48}]"
"true","St","Red Hook","Virgin Islands (USA)","18.3361","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vi2","[{:month=>1, :stat=>49}, {:month=>2, :stat=>52}, {:month=>3, :stat=>49}, {:month=>4, :stat=>48}, {:month=>5, :stat=>51}, {:month=>6, :stat=>59}, {:month=>7, :stat=>62}, {:month=>8, :stat=>54}, {:month=>9, :stat=>31}, {:month=>10, :stat=>36}, {:month=>11, :stat=>33}, {:month=>12, :stat=>47}]"
